time,x_req,y_req,z_req,x_out,y_out,z_out,x_mag,y_mag,z_mag
0,5.0,0.0,0.0,4.965,0,0,999,999,999
1,5.0,0.0,0.0,4.980,0,0,999,999,999
2,5.0,0.0,0.0,4.980,0,0,999,999,999
3,5.0,0.0,0.0,4.980,0,0,999,999,999
